title;genre;country;duration;release_year
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
Mùa Em Rực Rỡ;Tâm Lý , Tình Cảm;Hàn Quốc;60 phút / tập;2026
Em Là Niềm Vui Đến Muộn;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Hương Vị Tình Nhân;Tâm Lý , Tình Cảm;Thái Lan;50 phút / tập;2026
Cực Hạn;Tâm Lý , Tình Cảm  Hình Sự , Chiến Tranh  Thuyết Minh;Hàn Quốc;60 phút / tập;2026
Đông Qua Xuân Đến;Tâm Lý , Tình Cảm;Trung Quốc;45 phút / tập;2026
Nguyệt Lân Ỷ Kỷ;Cổ Trang , Thần Thoại;Trung Quốc;45 phút / tập;2026
Bạch Nhật Đề Đăng;Cổ Trang , Thần Thoại  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Trục Ngọc;Cổ Trang , Thần Thoại  Võ Thuật , Kiếm Hiệp  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Xin Chào 1983;Tâm Lý , Tình Cảm  Hài Hước  Thuyết Minh;Trung Quốc;45 phút / tập;2026
Luật Sư Bóng Ma;Tâm Lý , Tình Cảm  Hài Hước  Bí Ẩn , Siêu Nhiên;Hàn Quốc;60 phút / tập;2026
